,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
4383,David+N.+Stephens,@David_S_Bristol,David Stephens,Professor of Cell Biology and Faculty Research Director for Life Sciences @bristoluni      https://t.co/R8vBibHuUz,"Bristol, UK",6673,6327,39.21812529122715
4384,David+N+Arnosti,@ArnostiDavid,David Arnosti,Gene expression research at Michigan State University,,715,384,2.8107329096942117
4385,David+N+Church,@DJChurchSports,David Church,"Sports Reporter and Sports Editor. Former Sports Editor @ The Lumberjack. Former Sports Reporter @ AZ Daily Sun. Semi decent golfer, Professional sports nerd.","Flagstaff, AZ",218,404,0.9923164772463114
4386,David+N+Cooper,@DrDavidCooper,David Cooper,Place writing/poetry/literary geography/GeoHumanities/maps. Senior Lecturer @MMUEnglishDept @McrWritingSchl Co-Director @PlaceCentre,Lancaster & Manchester,5643,1960,10.380441064551128
4387,David+N+Juurlink,@DavidJuurlink,David Juurlink,"Professor and Head, Clinical Pharmacology & Toxicology @UofT. Internist @Sunnybrook. Drug safety researcher @ICESOntario. Inexplicably fortunate husband.",Toronto,59426,900,151.3606298156794
4388,David+O.+Hodge,@DavidFHodge,David Hodge,ALC Lecturer @MTU_ie | CoderDojo mentor @coderdojoMTU | MTU VEX  Team #DellMTUVEX | Director of DojoMór https://t.co/cGI4OCPDf0 |,"Cork, Irlande",369,609,1.5540207601124343
4389,David+O.+Omole,@Davolaj_,David Omole,Medical Laboratory Scientist 🔬 👨‍🔬 🥼 IFB asap😄,"Ilorin, Nigeria",31,94,0.24372856873235269
4390,David+O.+Scanlon,@scanlond81,David Scanlon,Professor of Computational Materials Design at UCL and Diamond Light Source - Ab initio design of new materials for future technologies - All thoughts my own,UCL,2697,2043,16.29817552689789
4391,David+P.+C.+Lloyd,@LloydLabs,Lloyd,"🤖 21. Student, final year BEng. Currently @CrowdStrike. Vulnerability research, reverse engineering & malware. My views.",London,1426,249,3.4844180276854724
4392,David+P.+J.+Osborn,@osborn_ucl,David Osborn,"Mental Health Researcher, Prof. at UCL, NHS Clinician, Medic, Evidence Seeker.  #mentalhealth #physicalhealth","Camden Town, London",1785,337,7.4254512058735385
4393,David+P.+Bazett-Jones,@DrBazettJones,David Bazett-Jones,"Athletic Trainer. Biomechanist. 🚀Professor. Researcher interested in running injury (PFP), youth pain, hip/trunk muscle testing. Views own. RT not=endorse","Toledo, OH",785,509,1.9148578555844336
4394,David+P.+Breen,@breenneurology,David Breen,"Consultant Neurologist, committed to patient involvement in Parkinson's and movement disorders research. Views = own.  #CarePD @AnneRowlClinic @EdinUniBrainSci","Edinburgh, Scotland",405,745,1.5724660850139993
4395,David+P.+French,@davidfrenchx,David French,"Prof Health Psychology, Complex interventions, esp with REACH. 
Cancer screening, primary prevention (esp diabetes), physical activity, green infrastructure.","Manchester, England",1669,821,5.289496131561146
4396,David+P.+Gavin,@david_gavin86,David Gavin,"MPhil Researcher - ORCID Profile - https://t.co/h4T8tTWdKM


Liverpool John Moores University. Views are my own.","Dublin City, Ireland",118,633,0.6678499609448431
4397,David+P.+Goldstein,@GoldsteinDM,David Goldstein,"Associate Professor of Linguistics and Indo-European Studies, UCLA","Los Angeles, CA",239,1243,1.1380078779655347
4398,David+P.+Greenberg,@republicofspin,David Greenberg,"Historian, writer, author of Republic of Spin, Nixon's Shadow, more. Writing a bio of John Lewis. Rutgers prof. Politico columnist. NYT, WP, WSJ, old TNR, more.","Manhattan, NY",7963,460,48.59719778862743
4399,David+P.+Humphreys,@DKHumphreys,David Humphreys,"Lecturer, Department of Social Policy and Intervention @CEBI_DSPI & Research Fellow @greentempleton, University of Oxford. Tweeting in a personal capacity.","Oxford, UK",730,1169,4.216718547743292
4400,David+P.+Inwald,@Dlawni,David Inwald,"Doctor, Consultant Paediatric Intensivist at @cuh_picu. Researcher. Unfit MAMIL. Pondster. Tweets about medicine, intensive care, some politics.","London, England",671,296,3.322499988832415
4401,David+P.+Kelsell,@davidkelsell,david kelsell,Professor; human genetics; skin scientist,"QMUL, UK",172,193,0.7165890455656807
4402,David+P.+Kreil,@dpkreil,David Kreil,"I lead a small methods focused research group at a university in Vienna, investigating biomedical inference from genome scale experimental assays.","Vienna, Austria",123,41,0.5056406223855789
4403,David+P.+Osborne,@DA_Osborne,David Osborne,@Midlands4Cities PhD researcher @UoNArch | mobility/diet/isotopes in Neolithic & Bronze Age Lincs. & Fens | PGR student rep | classical music | son of Tyneside,"Bradmore, Nottinghamshire, UK",623,1120,2.2343879575491425
4404,David+P.+Ripley,@ripley_david,David Ripley,Director of Research @NorthumbriaNHS | Consultant Cardiologist | Cardiovascular Imaging | Dad | Rugby 🏉 | Views own |,Northumbria,934,1735,3.73913935739779
4405,David+P.+Serota,@serotavirus,David Serota,"Infectious disease (🤒🤮) doctor in Miami. Research: Infectious complications of addiction, PrEP, pizza. Director of the Severe Injection-Related Infection Team","Miami, FL",3217,3180,38.192172983285985
4406,David+P+Breen,@breenneurology,David Breen,"Consultant Neurologist, committed to patient involvement in Parkinson's and movement disorders research. Views = own.  #CarePD @AnneRowlClinic @EdinUniBrainSci","Edinburgh, Scotland",405,745,2.1496307432312918
4407,David+P+French,@davidfrenchx,David French,"Prof Health Psychology, Complex interventions, esp with REACH. 
Cancer screening, primary prevention (esp diabetes), physical activity, green infrastructure.","Manchester, England",1669,821,4.492983515386918
4408,David+P+Goldstein,@DrDPGoldstein,David P Goldstein MD MSc FRCSC FACS,Head Neck Oncologic & Reconstructive Surgeon  @UHN Researcher @TGRI  & Princess Margaret Cancer Center @PMCancerCentre @UofT_OHNS,"Toronto, Ontario Canada ",27,29,0.11461537597203436
4409,David+PJ+Osborn,@osborn_ucl,David Osborn,"Mental Health Researcher, Prof. at UCL, NHS Clinician, Medic, Evidence Seeker.  #mentalhealth #physicalhealth","Camden Town, London",1785,337,6.930498670987626
4410,David+P+Kreil,@dpkreil,David Kreil,"I lead a small methods focused research group at a university in Vienna, investigating biomedical inference from genome scale experimental assays.","Vienna, Austria",123,41,0.4697033838874994
4411,David+P+McDonnell,@djmcd36,David McDonnell,"President of Institute of Professional Auctioneers & Valuers (IPAV) 2019-2020.
 Managing Director of Property Partners McDonnell, Estate Agents & Valuers.","Mullingar, Co . Westmeath",28,46,0.12385055566145527
4412,David+P+Ripley,@ripley_david,David Ripley,Director of Research @NorthumbriaNHS | Consultant Cardiologist | Cardiovascular Imaging | Dad | Rugby 🏉 | Views own |,Northumbria,934,1735,5.513867279427468
4413,David+Q.-H.+Wang,@planetbeing,David Wang,"Co-Founder of @corelliumhq. Security Researcher. Formerly of evad3rs, iPhone Dev Team, iPhone Linux.",,148988,129,839.9297443311906
4414,David+Q.+Shih,@professorshih,David Shih,"will talk about racism • english professor • 2004 world series of poker

represented by laura usselman @skagency","eau claire, wi",1094,493,4.9698713336830105
4415,David+R.+Adams,@David_J_Adams,David Adams,🇦🇺/🇬🇧 👨‍🔬 🏃‍♂️  Scientist interested in cancer genetics. I try and break things to see how they work. The opinions expressed are mine alone.,,1925,632,6.991468965926895
4416,David+R.+Baldwin,@DavidCBaldwin,David Baldwin,"father, husband, entrepreneur, math geek, #datascientist :: #rstats, foodist, soccer enthusiast... it's who I am!!! Working on my writing #MINDLENZ.","Dayton, OH",18,180,0.09056598877502141
4417,David+R.+Bangsberg,@DavidBangsberg,David Bangsberg,"Founding Dean OHSU-PSU School of Public Health, former MGH/Harvard Prof; Obsessive Sailor; PDX Bike Commuter; he/him/his; views my own","Portland, OR",2550,698,5.713331369430144
4418,David+R.+Booth,@dsboothacosta,David Booth,"Assistant Professor at UCSF (@bioboothlab) exploring cell fate in #choanoflagellates and helping make science more inclusive. He/Him,First Gen,🏳️‍🌈,🇭🇳,🇺🇸","San Francisco, CA",1101,854,5.752395714227225
4419,David+R.+Busch,@d_r_busch,David Busch,"Asst. Prof. @utsw_anes and                @UTSWNeurology. Shining light through people, especially the brain and spinal cord. Opinions expressed are mine.","Dallas, TX, USA",96,90,0.543335561446652
4420,David+R.+FitzPatrick,@Davide_Fitz,David Fitzpatrick,I'm a school psychologist and lifelong learner.,"Burlington, VT",40,286,0.13923471919202407
4421,David+R.+Gagnon,@djgagnon,David Gagnon,"I'm a lover of learning, play, and making games for the public. See https://t.co/CuEvhhL0ct @fielddaylab for my best ideas to date.","Madison, WI",798,254,3.9209961923450076
4422,David+R.+Gandara,@drgandara,David Gandara,Medical Oncologist and clinical-translational researcher in lung cancer. Director-Thoracic Oncology at UC Davis Comprehensive Cancer Center,,5903,430,23.175979473472356
4423,David+R.+Greig,@gingerdavid92,David Greig,"Healthcare Scientist and PhD student having a go at Bioinformatics. Interests in E. coli (STEC), microbiology, genomics, bioinformatics and nanopore!","London, England",413,1187,2.8212017911076592
4424,David+R.+Hodge,@DavidFHodge,David Hodge,ALC Lecturer @MTU_ie | CoderDojo mentor @coderdojoMTU | MTU VEX  Team #DellMTUVEX | Director of DojoMór https://t.co/cGI4OCPDf0 |,"Cork, Irlande",369,609,2.8698531089184502
4425,David+R.+Holmes,@davidrholmes2,David Holmes,Interventional Cardiologist at Mayo Clinic. Tweet are my own.,,455,41,1.618151382772925
4426,David+R.+Hotchkiss,@drhotchkiss,David Hotchkiss,Professor at Tulane University's School of Public Health and Tropical Medicine,New Orleans,33,192,0.18461061623434707
4427,David+R.+Karp,@DrDavidKarp,David Karp,Rheumatologist and Lupus researcher. Educator. Husband. Father.,"Dallas, Texas",874,180,3.527521273574405
4428,David+R.+Lester,@dr_dirt_oz,David Lester,Soil scientist working in Sth Qld (and the bits above and below it) on crop nutrition. Dad coaching cricket and football (soccer). Views are my own.,,768,2217,5.404835613222841
4429,David+R.+Linden,@david_j_linden,David Linden,"Johns Hopkins neurobiologist and author.  Latest book: ""Unique: The New Science of Human Individuality"" published by Basic Books.","Baltimore, USA",1071,386,6.037833625383958
4430,David+R.+Lubans,@davidlubans,David Lubans,"Professor, University of Newcastle | NHMRC Research Fellow | Researcher interested in physical activity promotion, fitness,  mental health and cognition.","Newcastle, Australia",509,324,1.6898320874918749
4431,David+R.+Maldonado,@allpurposedjD,David Maldonado,"PhD Candidate, School of Education UC Berkeley.","Berkeley, CA",278,653,1.586047648406362
4432,David+R.+Mandel,@DavidRMandelMD,David R. Mandel MD,"Practicing Physician in Rheumatology/Osteoporosis with a special interest in Research related to Dupuytrens contracture,Tendinitis, and  Auto Immune Diseases",Mayfield Village/ Chardon Ohio,10,4,0.05985621510522856
4433,David+R.+Matthews,@EHOdavid,David Matthews,Chartered EHP Husband Father Grandfather Lecturer Sailor Cyclist Wolves fan Allotmenteer CRT volunteer Relishing every moment on this earth,Stafford UK,1580,2954,4.174148318453637
4434,David+R.+Moore,@dmoore4788,David Moore,Assistant Professor of Finance at Loyola Marymount University. Amateur Cyclist. New Husband. Professional Maple Leafs Fan.,"Hermosa Beach, CA",5,67,0.01887817036456164
4435,David+R.+Nelson,@dave_m_nelson,David Nelson,"Faculty, @UMCES Appalachian Lab, husband, dad, stable isotope ecologist","Maryland, USA",58,123,0.16908170542863227
4436,David+R.+Newell,@DavidSRNewell,David Newell,Father to four beautiful girls and husband to one. Member of The Church of Jesus Christ of Latter-day Saints. Political Scientist.,,68,18,0.41709217340115273
4437,David+R.+Thorburn,@thorburn_mito,David R. Thorburn,"Mitochondrial disease research, diagnosis, prevention, treatment, advocacy. Hiking, gardening, grandparenting, opinions my own @MCRI_for_kids @TeamVCGS @AusMito","MCRI, VCGS, Univ. of Melbourne",96,11,0.45399499647894315
4438,David+R.+Tyler,@tw_watts,Tyler,"Assistant Professor at Teachers College, Columbia University","Manhattan, NY",773,759,12.560669719128642
4439,David+R.+Williams,@ZoologyDave,David Williams,"David R Williams, conservation scientist. Leeds, Santa Barbara and Cornwall. 

Interested in feeding the world without screwing it up.

He/him",Leeds,1680,2235,4.476284645686957
4440,David+R.+Wilson,@davidrwilson,David R. Wilson,Biomedical Engineer working in Biotech @AvideaTech. PhD @JHUBME / @SiebelScholars 2020. He/His. Personal views only.,"Baltimore, MD",740,590,3.693225492708186
4441,David+R+Adams,@David_J_Adams,David Adams,🇦🇺/🇬🇧 👨‍🔬 🏃‍♂️  Scientist interested in cancer genetics. I try and break things to see how they work. The opinions expressed are mine alone.,,1925,632,6.241046312232407
4442,David+R+Baldwin,@DavidCBaldwin,David Baldwin,"father, husband, entrepreneur, math geek, #datascientist :: #rstats, foodist, soccer enthusiast... it's who I am!!! Working on my writing #MINDLENZ.","Dayton, OH",18,180,0.0730528652624307
4443,David+R+Bangsberg,@DavidBangsberg,David Bangsberg,"Founding Dean OHSU-PSU School of Public Health, former MGH/Harvard Prof; Obsessive Sailor; PDX Bike Commuter; he/him/his; views my own","Portland, OR",2550,698,6.891463071328799
4444,David+R+Booth,@DavidPlaceNW,David Booth,"Content Producer at @PlaceNorthWest and @placetech - Producing video, podcasts, graphics and digital media for property and business professionals.",,266,356,1.0983142679192273
4445,David+R+Ellard,@EllardDavid,David Ellard,Associate Professor @warwickCTU @warwickmed #mixedmethods #carehomes #ElderlyCare #dementia #MentalHealth #ProcessEvaluation #ChronicPain #CDSM,"Bulkington, Warwickshire",135,126,0.6169864187072877
4446,David+R+FitzPatrick,@Davide_Fitz,David Fitzpatrick,I'm a school psychologist and lifelong learner.,"Burlington, VT",40,286,0.11124888583416769
4447,David+R+Holmes,@davidrholmes2,David Holmes,Interventional Cardiologist at Mayo Clinic. Tweet are my own.,,455,41,3.108103668169455
4448,David+R+Hotchkiss,@drhotchkiss,David Hotchkiss,Professor at Tulane University's School of Public Health and Tropical Medicine,New Orleans,33,192,0.17994210555608248
4449,David+R+Karp,@DrDavidKarp,David Karp,Rheumatologist and Lupus researcher. Educator. Husband. Father.,"Dallas, Texas",874,180,3.5036354347677237
4450,David+R+Lubans,@davidlubans,David Lubans,"Professor, University of Newcastle | NHMRC Research Fellow | Researcher interested in physical activity promotion, fitness,  mental health and cognition.","Newcastle, Australia",509,324,1.3973176987612572
4451,David+R+Maldonado,@allpurposedjD,David Maldonado,"PhD Candidate, School of Education UC Berkeley.","Berkeley, CA",278,653,1.8360584311650592
4452,David+R+Matthews,@EHOdavid,David Matthews,Chartered EHP Husband Father Grandfather Lecturer Sailor Cyclist Wolves fan Allotmenteer CRT volunteer Relishing every moment on this earth,Stafford UK,1580,2954,7.885535511458019
4453,David+R+Nelson,@dave_m_nelson,David Nelson,"Faculty, @UMCES Appalachian Lab, husband, dad, stable isotope ecologist","Maryland, USA",58,123,0.10290122631517842
